1,John,Doe,123-456-7890,123 Main St,50,500.00,Diamond,20,2024-04-28,30
2,Alice,Smith,456-789-1234,456 Elm St,75,800.00,Diamond,15,2024-04-28,40
3,Bob,Johnson,789-123-4567,789 Oak St,30,300.50,Gold,25,2024-04-28,35
4,Emily,Jones,321-654-9870,321 Pine St,60,700.25,Diamond,18,2024-04-28,45
5,Michael,Brown,654-987-0123,654 Cedar St,40,400.75,Gold,22,2024-04-28,32
6,Sarah,Miller,987-012-3456,987 Birch St,85,900.50,Diamond,12,2024-04-28,38
7,David,Wilson,210-543-8769,210 Maple St,55,600.25,Diamond,17,2024-04-28,28
8,Jessica,Taylor,543-876-9012,543 Walnut St,70,750.00,Diamond,19,2024-04-28,42
9,Chris,Anderson,876-901-2345,876 Cherry St,45,450.00,Gold,23,2024-04-28,33
10,Rachel,White,901-234-5678,901 Peach St,65,850.50,Diamond,14,2024-04-28,48
